GEOMETRY v06: 29976 meshes; SHA256(names/world vertices at1micrometre)=523cd725f671151f70fb591add45a53875bbd80cb619a85760088230495d1416; loaded C:\Users\lukap\Documents\GitHub\craftbot\experiments\17_Arrhenius_Laboratories\Astra\preflight_v06.blend
Pedestal_8 -> FootingPad_8: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_80 -> FootingPad_80: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_83 -> FootingPad_83: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_84 -> FootingPad_84: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_85 -> FootingPad_85: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_86 -> FootingPad_86: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_87 -> FootingPad_87: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_88 -> FootingPad_88: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_89 -> FootingPad_89: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_9 -> FootingPad_9: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_90 -> FootingPad_90: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_91 -> FootingPad_91: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_92 -> FootingPad_92: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_93 -> FootingPad_93: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_94 -> FootingPad_94: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_95 -> FootingPad_95: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_96 -> FootingPad_96: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_97 -> FootingPad_97: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_98 -> FootingPad_98: area0.3600m2; coverage1.000000; gap0.00000000m
Pedestal_99 -> FootingPad_99: area0.3600m2; coverage1.000000; gap0.00000000m

RIM / ENTRANCE GRADE-BEAM TO FOUNDATION CONTACT PATHS: actual SAT gaps<=2mm; contacts do not establish bearing area or joint capacity.
EntranceApproachGradeBeam: GradeBeam_0_0_2_0 -> FootingPad_120
StairRim_E_0: StairRim_E_0_67 -> Beam_1_10_1_1_18 -> Beam_1_10_1_1_17 -> Beam_1_10_1_1_0 -> Column_110 -> GradeBeam_10_1_1_0 -> FootingPad_110
StairRim_E_1: StairRim_E_1_67 -> Beam_2_10_1_1_18 -> Beam_2_10_1_1_17 -> Beam_2_10_1_1_0 -> Column_110 -> GradeBeam_10_1_1_0 -> FootingPad_110
